isbn,likes,rating,title,user_id,user_name
1616201347,23,5,An American Marriage,1010541,Wilhelmina Jenkins
1616201347,21,5,An American Marriage,219670,Janet
1616201347,20,5,An American Marriage,690922,Sue
1616201347,20,4,An American Marriage,2013209,Janet
1616201347,20,4,An American Marriage,3307717,Nakia
1616201347,20,2,An American Marriage,56111743,Roman Clodia
1616201347,23,4,An American Marriage,30261451,Celia
1616201347,25,4,An American Marriage,29049556,*TANYA*
1616201347,20,4,An American Marriage,5587447,Ifeyinwa
1616201347,26,5,An American Marriage,22450975,J Beckett
1616201347,19,4,An American Marriage,6320671,"Cortney LaScola - The Bookworm, Myrtle Beach"
1616201347,22,4,An American Marriage,5875398,Rebecca
1616201347,19,5,An American Marriage,727334,Amy
1616201347,19,5,An American Marriage,13286533,Paula W
1616201347,19,2,An American Marriage,2538232,Christine Boyer
1616201347,20,4,An American Marriage,5338290,RoseMary Achey
1616201347,19,4,An American Marriage,1418580,Wendy
1616201347,22,4,An American Marriage,7383561,Holly
1616201347,20,2,An American Marriage,38530619,Britta Böhler
1616201347,19,4,An American Marriage,8880660,Tammy
1616201347,19,4,An American Marriage,6595648,BAM The Bibliomaniac
1616201347,21,2,An American Marriage,49148508,may ❀
1616201347,18,3,An American Marriage,3128281,Renee (itsbooktalk.com)
1616201347,17,4,An American Marriage,4957858,Judith E
1616201347,16,3,An American Marriage,35482263,Gumble's Yard
1616201347,17,4,An American Marriage,28819314,Eric Anderson
1616201347,18,3,An American Marriage,29084789,Love Fool
1616201347,17,4,An American Marriage,13728920,Karen
1616201347,17,4,An American Marriage,223374,Lisa
1616201347,17,5,An American Marriage,348888,Cynthia Shannon
1616201347,19,4,An American Marriage,49847688,Emily
1616201347,21,4,An American Marriage,13111928,Jamise // Spines & Vines
1616201347,22,5,An American Marriage,1347292,Nikki (Saturday Nite Reader)
1616201347,16,2,An American Marriage,839866,Naori
1616201347,16,4,An American Marriage,12691311,Debbie
1616201347,17,3,An American Marriage,35319329,Heather
1616201347,17,4,An American Marriage,30535238,Brittany
1616201347,17,2,An American Marriage,58818027,Fares
1616201347,15,4,An American Marriage,50620706,Alaina
1616201347,16,5,An American Marriage,4263900,Joachim Stoop
1616201347,17,4,An American Marriage,2660322,Riva Sciuto
1616201347,14,5,An American Marriage,28707574,Cori Reed
1616201347,14,4,An American Marriage,4103395,Lisa Wolf
1616201347,14,5,An American Marriage,48150822,Sunita
1616201347,14,5,An American Marriage,61453300,Mimi
1616201347,14,4,An American Marriage,21291796,Rachel León
1616201347,14,5,An American Marriage,1172580,Cynthia
1616201347,15,3,An American Marriage,19810283,Joan
1616201347,14,4,An American Marriage,8170584,Marilyn C.
1616201347,13,2,An American Marriage,1293437,Katie
1616201347,13,2,An American Marriage,15118863,Hannah Grace
1616201347,13,5,An American Marriage,13126933,Lata
1616201347,13,5,An American Marriage,18983476,Bill
1616201347,13,5,An American Marriage,1402123,Laurel-Rain
1616201347,13,4,An American Marriage,13977687,Taryn Pierson
1616201347,13,1,An American Marriage,38800701,Miles
1616201347,13,4,An American Marriage,1246157,Jessica Sullivan
1616201347,13,3,An American Marriage,27117435,Andrea
1616201347,13,3,An American Marriage,4589699,Amber
1616201347,14,5,An American Marriage,2069203,Elizabeth
1616201347,13,5,An American Marriage,2471697,Trudy
1616201347,12,4,An American Marriage,5194069,Jenbebookish
1616201347,13,5,An American Marriage,873807,Elaine Mullane
1616201347,12,2,An American Marriage,28967523,Claire Fuller
1616201347,12,5,An American Marriage,33762599,Barb
1616201347,12,1,An American Marriage,9086236,Chaitra
1616201347,12,5,An American Marriage,85963975,Sandra Van
1616201347,12,5,An American Marriage,4956641,Stephanie ((Strazzybooks))
1616201347,12,4,An American Marriage,2426275,Columbus
1616201347,14,5,An American Marriage,143168,Diane
1616201347,12,5,An American Marriage,4456042,Alena
1616201347,12,4,An American Marriage,3614628,Andi (A Literal Hottie)
1616201347,13,3,An American Marriage,12234709,Kate
1616201347,12,5,An American Marriage,5613369,Desiree
1616201347,12,5,An American Marriage,55587138,Atira
1616201347,13,4,An American Marriage,8051792,Lisa
1616201347,12,3,An American Marriage,1519524,Kim
1616201347,12,4,An American Marriage,1705753,Tracey
